Date,CLI,BTC_63d_Ret,BTC_Price
2020-07-03,-2.0854105319348166,2.47936316308753,9087.3037109375
2020-07-04,-2.0791819894053534,1.588145811690099,9132.48828125
2020-07-05,-2.073036049066265,1.9640005347035054,9073.9423828125
2020-07-06,-2.045947998188291,5.062509757217377,9375.474609375
2020-07-07,-2.0534415471213334,2.7304055554034,9252.27734375
2020-07-08,-1.8592179073299904,1.706951436883108,9428.3330078125
2020-07-09,-1.8636892004158216,-7.00826252020226,9277.9677734375
2020-07-10,-1.8602263395690852,-5.899356189932677,9278.8076171875
2020-07-11,-1.8558132733290191,-3.7547709004091807,9240.3466796875
2020-07-12,-1.851407039513647,5.769595701059515,9276.5
2020-07-13,-1.8349966096700412,7.196195575775631,9243.6142578125
2020-07-14,-1.8283225934956076,4.862924296132911,9243.2138671875
2020-07-15,-1.6198719451955819,-0.8357425577782667,9192.8369140625
2020-07-16,-1.611854211640091,-6.378667337758497,9132.2275390625
2020-07-17,-1.6074005738809807,-1.9135715033949903,9151.392578125
2020-07-18,-1.6043861463307685,-2.3519966493482687,9159.0400390625
2020-07-19,-1.6014477426149765,-5.144404936809165,9185.8173828125
2020-07-20,-1.5954481968434469,-5.955383000017496,9164.2314453125
2020-07-21,-1.556213168996945,-3.708043804919331,9374.8876953125
2020-07-22,-1.4263099005051176,0.025008324703303803,9525.36328125
2020-07-23,-1.4225484991052193,5.352131755546291,9581.072265625
2020-07-24,-1.4380968160072045,3.7859806479105718,9536.892578125
2020-07-25,-1.4357701883828113,4.95511987720075,9677.11328125
2020-07-26,-1.4333939095457822,11.939994415010865,9905.1669921875
2020-07-27,-1.4036798813690956,21.023506682622227,10990.873046875
2020-07-28,-1.3913324110456347,21.121146744732144,10912.8232421875
2020-07-29,-1.2882055334023226,18.98492034018784,11100.4677734375
2020-07-30,-1.2974328811285283,15.395609606741306,11111.2138671875
2020-07-31,-1.2806987414491793,18.201409830532615,11323.466796875
2020-08-01,-1.0220647715535585,19.25007423079082,11759.5927734375
2020-08-02,-1.021166416463937,15.557317774807874,11053.6142578125
2020-08-03,-0.585763627994406,10.086991470198061,11246.3486328125
2020-08-04,-0.5827597734690987,16.20156425032643,11205.892578125
2020-08-05,-0.4565305714223916,19.59459854159038,11747.0224609375
2020-08-06,-0.46312768741360166,18.393659036163708,11779.7734375
2020-08-07,-0.4868799507674697,18.25657635851133,11601.47265625
2020-08-08,-0.486619334362715,19.685835566776536,11754.0458984375
2020-08-09,-0.48639212308084123,17.933829548296323,11675.7392578125
2020-08-10,-0.49076606545160445,19.522843603317035,11878.111328125
2020-08-11,-0.48539174170155686,15.259267550435911,11410.525390625
2020-08-12,-0.5001550137668469,16.019605925282654,11584.9345703125
2020-08-13,-0.50694948681963,23.440063234952763,11784.1376953125
2020-08-14,-0.49295024298603723,21.61846873312065,11768.87109375
2020-08-15,-0.49272199229806435,22.49657154069921,11865.6982421875
2020-08-16,-0.49248765291559016,23.663030919141416,11892.8037109375
2020-08-17,-0.49321462067071997,25.97962072636122,12254.40234375
2020-08-18,-0.4882844141528571,22.888945314058642,11991.2333984375
2020-08-19,-0.6517540945954159,21.534674340651687,11758.283203125
2020-08-20,-0.6727698478149576,23.275071512328747,11878.3720703125
2020-08-21,-0.689981168315807,22.163216853430804,11592.4892578125
2020-08-22,-0.6896740794025795,22.45483567419494,11681.8251953125
2020-08-23,-0.6890656841179013,22.617521149877412,11664.84765625
2020-08-24,-0.6885754414773102,19.91192708183776,11774.595703125
2020-08-25,-0.6844529337904028,16.57905674590072,11366.134765625
2020-08-26,-0.6594534568137056,20.985782549675243,11488.36328125
2020-08-27,-0.6627524658204738,20.0647429318112,11323.3974609375
2020-08-28,-0.6261057743405913,23.0871191900618,11542.5
2020-08-29,-0.6257531759797377,24.068852939325897,11506.865234375
2020-08-30,-0.625320318890016,24.751954953076275,11711.505859375
2020-08-31,-0.6156776549971195,23.973929447181572,11680.8203125
2020-09-01,-0.43175017399958404,27.00026999508235,11970.478515625
2020-09-02,0.42988983572933576,21.25660868959307,11414.0341796875
2020-09-03,0.42061199977335173,11.597510398425994,10245.296875
2020-09-04,0.4046539477310861,14.562147499710038,10511.8134765625
2020-09-05,0.40439376226225077,10.756147409792188,10169.5673828125
2020-09-06,0.40425399880273055,12.48276266084838,10280.3515625
2020-09-07,0.39323175316767045,10.077773094549075,10369.5634765625
2020-09-08,0.36273365215985154,9.078130038387382,10131.5166015625
2020-09-09,0.26819075641531587,8.28115510390103,10242.34765625
2020-09-10,0.2914112292896863,11.061261866872565,10363.138671875
2020-09-11,0.28336099014955496,11.416073778674253,10400.9150390625
2020-09-12,0.28331129340902406,12.227309690477828,10442.1708984375
2020-09-13,0.2832330236097458,10.696331322049222,10323.755859375
2020-09-14,0.30046434951264867,14.451832201711229,10680.837890625
2020-09-15,0.3109698434257794,15.537414907383923,10796.951171875
2020-09-16,0.29279912663220414,17.718674330819937,10974.9052734375
2020-09-17,0.29337589469063197,18.14375909408922,10948.990234375
2020-09-18,0.2947091945627368,17.89388370200976,10944.5859375
2020-09-19,0.2947229425740241,19.16942964753528,11094.3466796875
2020-09-20,0.2945864481291547,17.460707915088484,10938.271484375
2020-09-21,0.24534286044332365,13.24664538833934,10462.259765625
2020-09-22,0.23771938149036653,11.699682605645796,10538.4599609375
2020-09-23,0.17209205583055595,7.294752981480531,10246.1865234375
2020-09-24,0.16229389917706669,11.605221306154762,10760.06640625
2020-09-25,0.15157067682178724,11.439512967875269,10692.716796875
2020-09-26,0.15172864348860862,10.520942492164798,10750.7236328125
2020-09-27,0.15172208091564635,8.419711078683033,10775.26953125
2020-09-28,0.16218559052796513,-2.5919782344581765,10709.65234375
2020-09-29,0.171423450139018,-0.6267535664944608,10844.640625
2020-09-30,0.229619982391213,-2.8878146073235,10784.4912109375
2020-10-01,0.337693922712044,-4.5267428948964845,10619.4521484375
2020-10-02,0.33720625798914683,-6.82923977009667,10575.974609375
2020-10-03,0.06536459723773011,-10.86070481308138,10549.3291015625
2020-10-04,0.06547896600572853,-3.5360472893871466,10669.5830078125
2020-10-05,0.09902500967752925,-4.111424722537775,10793.33984375
2020-10-06,0.0917880299168039,-5.517016428607659,10604.40625
2020-10-07,0.05666091910249327,-9.626038973899108,10668.96875
2020-10-08,0.06880944765761038,-7.6183149423062675,10915.685546875
2020-10-09,0.10301873545183435,-4.739405345068475,11064.4580078125
